codigo_dane,anio,semana_epi,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,pm10_avg,pm25_avg,fuente_pm,metodo_imputacion
05001,2021,48,21.5,77.528,38.38,851.017,41.657,18.339,SISAIRE_DIRECTO,directo
05001,2021,49,21.983,73.042,1.032,850.78,44.562,20.185,SISAIRE_DIRECTO,directo
05001,2021,50,21.126,74.744,16.234,850.974,47.752,20.47,SISAIRE_DIRECTO,directo
05001,2021,51,21.881,75.03,19.529,851.655,38.733,17.98,SISAIRE_DIRECTO,directo
05001,2021,52,21.107,79.641,16.295,851.519,38.792,19.817,SISAIRE_DIRECTO,directo
05001,2022,1,20.567,78.963,33.311,851.548,40.571,20.077,SISAIRE_DIRECTO,directo
05001,2022,2,20.731,73.802,30.484,852.635,34.498,16.356,SISAIRE_DIRECTO,directo
05001,2022,3,21.971,70.616,0.342,851.16,42.286,20.9,SISAIRE_DIRECTO,directo
05001,2022,4,21.271,70.115,14.853,851.473,46.038,21.864,SISAIRE_DIRECTO,directo
05001,2022,5,21.112,69.792,22.626,851.535,47.508,23.314,SISAIRE_DIRECTO,directo
05001,2022,6,20.737,77.946,33.776,850.89,43.635,21.145,SISAIRE_DIRECTO,directo
05001,2022,7,20.769,79.06,25.029,851.521,46.119,23.091,SISAIRE_DIRECTO,directo
05001,2022,8,21.449,70.275,45.35,851.516,53.325,27.763,SISAIRE_DIRECTO,directo
05001,2022,9,20.103,85.409,118.811,851.955,38.877,18.975,SISAIRE_DIRECTO,directo
05001,2022,10,20.209,76.679,20.006,851.387,39.072,18.412,SISAIRE_DIRECTO,directo
05001,2022,11,20.269,85.923,10.05,852.225,47.776,25.799,SISAIRE_DIRECTO,directo
05001,2022,12,20.976,83.449,131.049,850.786,50.642,28.709,SISAIRE_DIRECTO,directo
05001,2022,13,20.842,81.774,69.94,851.382,40.939,20.193,SISAIRE_DIRECTO,directo
05001,2022,14,21.333,80.518,89.169,851.051,36.055,16.723,SISAIRE_DIRECTO,directo
05001,2022,15,22.692,71.478,18.265,850.225,36.853,19.003,SISAIRE_DIRECTO,directo
05001,2022,16,20.311,82.251,42.083,852.279,32.114,14.462,SISAIRE_DIRECTO,directo
05001,2022,17,21.389,76.875,26.801,851.161,37.29,16.995,SISAIRE_DIRECTO,directo
05001,2022,18,22.072,75.944,56.115,852.237,35.044,16.774,SISAIRE_DIRECTO,directo
05001,2022,19,21.629,81.971,35.074,851.19,38.124,18.126,SISAIRE_DIRECTO,directo
05001,2022,20,20.898,84.984,82.35,853.452,38.708,18.79,SISAIRE_DIRECTO,directo
05001,2022,21,21.516,75.516,22.223,851.666,34.465,15.984,SISAIRE_DIRECTO,directo
05001,2022,22,20.094,84.283,79.474,852.193,35.007,18.527,SISAIRE_DIRECTO,directo
05001,2022,23,19.972,84.084,60.019,852.248,39.223,18.897,SISAIRE_DIRECTO,directo
05001,2022,24,20.262,85.202,72.549,852.226,34.558,17.019,SISAIRE_DIRECTO,directo
05001,2022,25,20.867,81.861,47.241,851.909,34.541,16.517,SISAIRE_DIRECTO,directo
05001,2022,26,20.321,85.106,59.287,852.654,32.998,15.481,SISAIRE_DIRECTO,directo
05001,2022,27,22.783,70.881,4.16,851.655,29.562,12.957,SISAIRE_DIRECTO,directo
05001,2022,28,21.891,78.969,27.189,851.824,36.989,16.266,SISAIRE_DIRECTO,directo
05001,2022,29,22.158,74.601,16.513,851.346,32.377,15.409,SISAIRE_DIRECTO,directo
05001,2022,30,21.071,81.051,84.499,852.111,31.107,14.404,SISAIRE_DIRECTO,directo
05001,2022,31,21.035,81.816,85.81,851.051,35.257,15.917,SISAIRE_DIRECTO,directo
05001,2022,32,22.284,72.097,24.735,852.042,34.717,15.353,SISAIRE_DIRECTO,directo
05001,2022,33,21.58,78.443,37.625,851.796,33.357,15.06,SISAIRE_DIRECTO,directo
05001,2022,34,21.111,77.962,20.379,852.053,42.159,21.526,SISAIRE_DIRECTO,directo
05001,2022,35,21.267,81.333,46.082,851.523,37.28,17.037,SISAIRE_DIRECTO,directo
05001,2022,36,22.179,72.946,12.868,852.4,39.685,20.333,SISAIRE_DIRECTO,directo
05001,2022,37,20.644,82.918,49.145,852.224,38.402,17.505,SISAIRE_DIRECTO,directo
05001,2022,38,19.575,86.667,24.929,852.184,41.632,19.529,SISAIRE_DIRECTO,directo
05001,2022,39,21.167,79.258,19.575,851.703,40.638,17.787,SISAIRE_DIRECTO,directo
05001,2022,40,20.978,80.057,47.7,851.239,34.769,15.241,SISAIRE_DIRECTO,directo
