codigo_dane,anio,semana_epi,fecha_semana,nivel_alerta,prediccion_casos_t1,desviacion_prediccion_pct,variable_causal,media_hist_mun_sem,shap_max_value
05001,2020,2,2020-01-06,ALERTA_VERDE,5.85,-23.7,casos_ira_total,7.666666666666667,1.342173457145691
05001,2020,3,2020-01-13,ALERTA_VERDE,5.6,-6.67,casos_ira_lag1,6.0,1.4722399711608887
05001,2020,4,2020-01-20,ALERTA_NARANJA,6.62,41.86,casos_ira_total,4.666666666666667,1.6305972337722778
05001,2020,5,2020-01-27,ALERTA_NARANJA,7.34,46.8,casos_ira_total,5.0,1.753192663192749
05001,2020,6,2020-02-03,ALERTA_VERDE,5.16,-32.7,casos_ira_lag1,7.666666666666667,1.6979831457138062
05001,2020,7,2020-02-10,ALERTA_NARANJA,7.88,39.06,casos_ira_lag1,5.666666666666667,3.2906415462493896
05001,2020,8,2020-02-17,ALERTA_NARANJA,7.59,33.94,casos_ira_total,5.666666666666667,2.075199604034424
05001,2020,9,2020-02-24,ALERTA_NARANJA,10.26,39.91,casos_ira_lag1,7.333333333333333,1.9850127696990967
05001,2020,10,2020-03-02,ALERTA_VERDE,6.83,-26.82,casos_ira_lag1,9.333333333333334,2.529038667678833
05001,2020,11,2020-03-09,ALERTA_ROJA,10.32,62.95,casos_ira_lag1,6.333333333333333,4.683456897735596
05001,2020,12,2020-03-16,ALERTA_VERDE,4.91,-29.86,casos_ira_total,7.0,1.6573508977890015
05001,2020,13,2020-03-23,ALERTA_ROJA,8.41,68.2,casos_ira_lag1,5.0,4.027152061462402
05001,2020,14,2020-03-30,ALERTA_VERDE,6.06,-17.36,casos_ira_total,7.333333333333333,1.9747521877288818
05001,2020,15,2020-04-06,ALERTA_VERDE,6.55,-18.12,casos_ira_lag1,8.0,2.4692797660827637
05001,2020,16,2020-04-13,ALERTA_VERDE,4.41,-26.5,casos_ira_lag1,6.0,2.1674299240112305
05001,2020,17,2020-04-20,ALERTA_VERDE,5.08,8.86,casos_ira_total,4.666666666666667,1.8973336219787598
05001,2020,18,2020-04-27,ALERTA_VERDE,3.84,-17.71,casos_ira_lag1,4.666666666666667,1.7994961738586426
05001,2020,19,2020-05-04,ALERTA_VERDE,2.69,-59.65,media_hist_mun_sem,6.666666666666667,1.2272536754608154
05001,2020,21,2020-05-18,ALERTA_VERDE,2.97,-40.6,media_hist_mun_sem,5.0,0.8310599327087402
05001,2020,22,2020-05-25,ALERTA_VERDE,3.53,-57.64,media_hist_mun_sem,8.333333333333334,1.7186402082443237
05001,2020,23,2020-06-01,ALERTA_VERDE,3.52,-37.88,media_hist_mun_sem,5.666666666666667,0.9358460307121277
05001,2020,24,2020-06-08,ALERTA_VERDE,4.44,-36.57,media_hist_mun_sem,7.0,1.4724408388137817
05001,2020,25,2020-06-15,ALERTA_VERDE,6.31,-5.35,casos_ira_total,6.666666666666667,2.0848870277404785
05001,2020,26,2020-06-22,ALERTA_VERDE,9.06,13.25,casos_ira_total,8.0,2.1285533905029297
05001,2020,27,2020-06-29,ALERTA_NARANJA,11.52,50.26,casos_ira_lag1,7.666666666666667,3.2789552211761475
05001,2020,28,2020-07-06,ALERTA_VERDE,3.58,-62.97,casos_ira_total,9.666666666666666,1.3877917528152466
05001,2020,30,2020-07-20,ALERTA_VERDE,2.29,-63.84,casos_ira_lag1,6.333333333333333,1.6095508337020874
05001,2020,31,2020-07-27,ALERTA_VERDE,2.65,-11.67,media_hist_mun_sem,3.0,0.9816040992736816
05001,2020,32,2020-08-03,ALERTA_VERDE,2.67,-49.94,media_hist_mun_sem,5.333333333333333,0.8089010715484619
05001,2020,33,2020-08-10,ALERTA_VERDE,1.89,-19.0,humedad_avg,2.3333333333333335,0.08633024245500565
05001,2020,34,2020-08-17,ALERTA_VERDE,2.51,-5.88,media_hist_mun_sem,2.6666666666666665,0.820949375629425
05001,2020,36,2020-08-31,ALERTA_VERDE,1.76,-52.0,media_hist_mun_sem,3.6666666666666665,0.7450897693634033
05001,2020,39,2020-09-21,ALERTA_VERDE,3.18,-4.6,media_hist_mun_sem,3.3333333333333335,0.9403926134109497
05001,2020,42,2020-10-12,ALERTA_VERDE,2.65,-11.67,media_hist_mun_sem,3.0,0.8557921648025513
05001,2020,47,2020-11-16,ALERTA_VERDE,3.57,-33.06,media_hist_mun_sem,5.333333333333333,1.1783992052078247
05001,2020,48,2020-11-23,ALERTA_VERDE,2.1,-65.0,media_hist_mun_sem,6.0,0.44493553042411804
05001,2020,49,2020-11-30,ALERTA_VERDE,2.12,-54.57,media_hist_mun_sem,4.666666666666667,1.0557711124420166
05001,2020,51,2020-12-14,ALERTA_VERDE,3.08,-51.37,media_hist_mun_sem,6.333333333333333,0.9823394417762756
05001,2020,53,2020-12-28,ALERTA_ROJA,7.34,144.67,media_hist_mun_sem,3.0,1.6987888813018799
05001,2021,1,2021-01-04,ALERTA_VERDE,11.37,26.33,casos_ira_total,9.0,3.3827953338623047
05001,2021,2,2021-01-11,ALERTA_NARANJA,12.24,59.65,casos_ira_lag1,7.666666666666667,2.54742693901062
05001,2021,3,2021-01-18,ALERTA_ROJA,10.38,73.0,casos_ira_lag1,6.0,2.6432693004608154
05001,2021,4,2021-01-25,ALERTA_ROJA,12.2,161.43,casos_ira_lag1,4.666666666666667,3.36340594291687
05001,2021,5,2021-02-01,ALERTA_ROJA,8.44,68.8,casos_ira_lag1,5.0,2.9731297492980957
05001,2021,6,2021-02-08,ALERTA_NARANJA,10.23,33.43,casos_ira_lag1,7.666666666666667,3.847712278366089
05001,2021,7,2021-02-15,ALERTA_ROJA,9.35,65.0,casos_ira_total,5.666666666666667,2.1673567295074463
05001,2021,8,2021-02-22,ALERTA_ROJA,10.48,84.94,casos_ira_lag1,5.666666666666667,2.9705381393432617
